nohup: 忽略输入
2023-08-26 20:01:49.166119: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-08-26 20:01:49.625335: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/home/yanglj/Desktop/restoration/ECSC-Net/core/ECSCNet.py:53: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  z = F.conv2d(z, D, stride=stride)
Iter 6.977K-> avg_loss: 0.0027, avg_psnr: 26.7296, cur_loss: 0.0031, cur_psnr: 25.1451, LR= 1.40000e-04, index: [3546],
Iter 7.177K-> avg_loss: 0.0027, avg_psnr: 26.7394, cur_loss: 0.0011, cur_psnr: 29.7147, LR= 1.40000e-04, index: [1329],
Iter 7.377K-> avg_loss: 0.0027, avg_psnr: 26.7649, cur_loss: 0.0020, cur_psnr: 27.0193, LR= 1.40000e-04, index: [2651],
Iter 7.577K-> avg_loss: 0.0027, avg_psnr: 26.7833, cur_loss: 0.0028, cur_psnr: 25.5020, LR= 1.40000e-04, index: [4782],
Iter 7.777K-> avg_loss: 0.0027, avg_psnr: 26.8029, cur_loss: 0.0012, cur_psnr: 29.1847, LR= 1.40000e-04, index: [5174],
Iter 7.977K-> avg_loss: 0.0027, avg_psnr: 26.8091, cur_loss: 0.0015, cur_psnr: 28.1947, LR= 1.40000e-04, index: [2412],
Iter 8.177K-> avg_loss: 0.0027, avg_psnr: 26.8181, cur_loss: 0.0023, cur_psnr: 26.2920, LR= 1.40000e-04, index: [4075],
Iter 8.377K-> avg_loss: 0.0027, avg_psnr: 26.8116, cur_loss: 0.0017, cur_psnr: 27.6296, LR= 1.40000e-04, index: [428],
Iter 8.577K-> avg_loss: 0.0027, avg_psnr: 26.7945, cur_loss: 0.0023, cur_psnr: 26.3620, LR= 1.40000e-04, index: [4812],
Iter 8.777K-> avg_loss: 0.0027, avg_psnr: 26.8174, cur_loss: 0.0016, cur_psnr: 27.8572, LR= 1.40000e-04, index: [516],
Iter 8.977K-> avg_loss: 0.0027, avg_psnr: 26.8326, cur_loss: 0.0014, cur_psnr: 28.4541, LR= 1.40000e-04, index: [4864],
Iter 9.177K-> avg_loss: 0.0027, avg_psnr: 26.8283, cur_loss: 0.0038, cur_psnr: 24.1889, LR= 1.40000e-04, index: [1411],
Iter 9.377K-> avg_loss: 0.0027, avg_psnr: 26.8263, cur_loss: 0.0039, cur_psnr: 24.0474, LR= 1.40000e-04, index: [2670],
Iter 9.577K-> avg_loss: 0.0027, avg_psnr: 26.8118, cur_loss: 0.0025, cur_psnr: 25.9405, LR= 1.40000e-04, index: [2247],
Iter 9.777K-> avg_loss: 0.0027, avg_psnr: 26.8105, cur_loss: 0.0022, cur_psnr: 26.5852, LR= 1.40000e-04, index: [3968],
Iter 9.977K-> avg_loss: 0.0027, avg_psnr: 26.8179, cur_loss: 0.0014, cur_psnr: 28.6645, LR= 1.40000e-04, index: [1006],
Iter 10.177K-> avg_loss: 0.0027, avg_psnr: 26.8202, cur_loss: 0.0065, cur_psnr: 21.8396, LR= 1.40000e-04, index: [3925],
training epoch    2 consumed time : 3.62min
